First Hash - Ehe -- Second Ehe  (sagen,1) (Verhältnis,1) (selbstverständlich,1) (schlagen,1) (Bett,1) (müssen,1)
First Hash - trennen -- Second trennen  (kurz,1) (Entfernung,1) (Zimmer,1) (Schwäche,1) (begriff,1) (groß,1)
First Hash - Prinzipal -- Second Prinzipal  (Samsa,1) (kommen,1) (Bedienerin,1) (Gret,1) (Auftraggeber,1) (schreiben,1)
First Hash - Luft -- Second Luft  (frei,1) (sein,3) (Lauigkeit,1) (hängen,1) (Seite,1) (schmerzhaft,1) (halten,1) (zitternd,1) (beigemischen,1) (Morgens,1) (Boden,1) (Kopf,1) (Bett,1) (Angst,1) (frisch,1) (bekommen,1)
First Hash - Teufel -- Second Teufel  (holen,1) (sollen,1) (menschlich,1) (Verkehr,1) (fühlen,1) (werdend,1)
First Hash - Überbleibsel -- Second Überbleibsel  (zusammenkehren,1) (Schwester,1) (Besen,1) (berührt,1) (nichtsahnend,1) (Gregor,1)
First Hash - Bogen -- Second Bogen  (hängend,1) (sein,1) (Zimmer,1) (Kanapee,1) (Violine,1) (ganz,1) (Note,1) (gehen,1) (Ende,1) (halten,1) (Hand,1) (spielen,1)
First Hash - Läute -- Second Läute  (verschlafen,1) (sein,1) (möbelerschütternd,1) (möglich,1) (ruhig,2)
First Hash - Urteil -- Second Urteil  (angestellter,1) (Eigenschaft,1) (Unternehmer,1) (leicht,1) (Chef,1) (beirren,1)
First Hash - Ziel -- Second Ziel  (gut,1) (erheben,1) (Fahrt,1) (Tochter,1) (Absicht,1) (Traum,1)
First Hash - halb -- Second halb  (denken,1) (sagen,1) (sein,2) (Zeiger,1) (Jahr,1) (Schutz,1) (sollen,1) (verstünde,1) (bewohnt,1) (Gregor,1) (Zimmer,1) (leicht,1) (nähern,1) (Uhr,1) (ruhig,1) (Wendung,1) (Vater,2) (fragend,1) (erheben,1) (gehen,2) (Wecker,1) (fallen,1) (unbewußt,1) (Schwester,2) (schütteln,1) (Arm,1)
First Hash - lassen -- Second lassen  (Frau,2) (entschlossen,1) (Leintuch,1) (Empfindlichkeit,1) (knarr,1) (sollen,2) (verlocken,1) (Gregor,9) (wachen,1) (Höhe,1) (mittlerer,1) (lenken,1) (genügt,1) (rufen,2) (besonderer,1) (wirklich,1) (nah,1) (offen,1) (haben,10) (beirren,1) (ganz,2) (Lage,1) (vernünftig,1) (Höhle,1) (versäumen,1) (zeigen,1) (Sessel,3) (Rücklehne,1) (Arbeit,1) (absperren,1) (allmählich,1) (zusammenrücken,1) (hineinfallen,1) (Seite,1) (Auge,1) (schreckenerregend,1) (treiben,1) (Geschäft,1) (Weise,2) (nötig,1) (Schwester,1) (geben,1) (Stellung,1) (sprechen,1) (vergessen,1) (Mangel,1) (Bett,1) (Gewalt,1) (sitzen,1) (Herr,3) (kommen,3) (Ordnung,1) (Tür,6) (groß,2) (dürfen,1) (unglücklich,1) (verwandeln,1) (eintreten,2) (Eltern,1) (Hunger,1) (Gewalttat,1) (zumachen,1) (leben,2) (Wange,1) (nachfrage,1) (verstummen,1) (Geldverdienen,1) (Kopf,2) (Fragerei,1) (wollen,4) (anwachsen,1) (genau,1) (klar,1) (Notwendigkeit,1) (Laune,1) (Schritt,1) (getrauen,1) (stellen,1) (Höflichkeit,1) (Müdigkeit,1) (Lackstiefel,1) (ungestört,1) (Zureden,1) (Türe,1) (bleiben,1) (Damenfreund,1) (bestimmt,1) (Zwischenzeit,1) (Weilchen,1) (zuhören,1) (Vorführung,1) (werfen,2) (Zins,1) (zufällig,1) (Jahr,1) (Unterleib,1) (Ruhe,2) (Entschlusse,1) (liegen,1) (aufmachen,1) (brennen,1) (verziehen,1) (Zimmer,4) (Last,1) (nutzlos,2) (leicht,2) (Fensterflügel,1) (führen,1) (Nebenzimmer,2) (Richtung,1) (Zeit,1) (Vater,3) (neu,1) (geschehen,1) (stehen,1) (weggehen,1) (strecken,1) (bestehen,1) (alt,1) (Wohnungstür,1) (Feuer,1) (halten,1) (müssen,3) (schwer,1) (Hand,1) (gefühlt,1) (Prokurist,3) (Lehrjung,1) (tatsächlich,1) (Befehl,1) (schreien,1) (Fall,2) (Wein,1) (abbringen,1) (anbieten,1) (vorrücken,1) (Sieh,1) (sagen,2) (sein,10) (reisend,1) (nahe,1) (zurückhalten,1) (schließen,1) (Kasten,1) (übernachten,1) (Sache,1) (Nervosität,1) (nehmen,1) (angestellter,1) (einnehmen,1) (bliesen,1) (langsam,1) (wissen,2) (Bein,1) (stören,3) (Geld,1) (wegfahren,1) (Familie,2) (Gret,2) (zurückkehren,1) (Gasse,1) (innerer,1) (meinen,1) (nachlässig,1) (Zigarre,1) (suchen,1) (tastend,1) (allgemein,1) (Stimmung,1) (fallen,2) (Wunder,1) (Mutter,3) (sehen,4) (Milch,1) (werden,4) (Schreckgestalt,1) (achten,1) (rasch,1) (Stuhles,1)
First Hash - schwerfällig -- Second schwerfällig  (sein,1) (alt,1) (Mutter,1) (ansetzen,1) (werden,1) (Fett,1)
First Hash - übernehmen -- Second übernehmen  (Wunsch,1) (haben,1) (Aufgabe,1) (Leichtsinn,1) (schwer,1) (Gregor,1)
First Hash - entfernen -- Second entfernen  (können,2) (drehen,1) (sein,1) (Fußspitze,1) (ärgerlich,1) (kommen,1) (sollen,1) (Bedienerin,1) (Gregor,3) (nickt,1) (haben,2) (aufschauen,1) (Morgen,1) (Apfel,1) (aufrütteln,1) (wollen,1) (genau,1) (Vergnügen,1) (Schlüssel,1) (hören,1) (essen,1) (müssen,1) (sichtbar,1) (bleiben,2) (nötig,1) (Andenken,1) (leiden,1) (sehen,1) (werden,2) (wagen,1)
First Hash - zurückzusehen -- Second zurückzusehen  (Leiche,1) (Eltern,1) (Schlafzimmer,1) (gehen,1) (Bedienerin,1) (Gret,1)
First Hash - Morgenarbeit -- Second Morgenarbeit  (sagen,1) (Schreibend,1) (fortgehen,1) (sein,1) (Bedienerin,1) (beenden,1)
First Hash - Auge -- Second Auge  (hervorgequollen,1) (kurz,1) (flimmern,1) (erkennen,1) (Gregor,1) (tauchen,1) (haben,1) (ziehen,1) (Sessel,1) (allmählich,1) (lassen,1) (Befriedigung,1) (Fenster,1) (Käse,1) (Blick,1) (Ermattung,1) (Beispiel,1) (Schwester,2) (Unmöglichkeit,1) (drang,1) (Herr,1) (denken,1) (Rückenlage,1) (Erstickungsanfall,1) (tränend,1) (Wohnzimmer,1) (Ausdruck,1) (dumpf,1) (Tür,1) (groß,2) (enttäuschen,1) (Gemüse,1) (versuchen,1) (Stumpfheit,1) (Kopf,2) (zerzaust,1) (sammeln,1) (frisch,1) (Kraft,1) (schlagen,1) (beschatten,1) (pfiff,1) (wenden,1) (zappelnd,1) (riß,1) (weinen,1) (verziehen,1) (ausstrecken,1) (nutzlos,1) (fing,1) (richten,1) (verzehren,1) (Zeit,1) (Vater,2) (Überzeugung,1) (geschehen,1) (stehen,1) (gehen,1) (halten,2) (Augenblick,2) (ursprünglich,1) (Hand,2) (tatsächlich,1) (Achsel,1) (sagen,2) (Leiche,1) (sein,3) (Lauf,1) (schließen,3) (Besen,1) (irrsinnig,1) (abwechselnd,1) (Absicht,1) (nichtsahnend,1) (vorgehalten,1) (aneinandergedrückt,1) (aufmerksam,1) (nehmen,1) (anderer,1) (langsam,1) (Morgen,1) (Bein,2) (Rasch,1) (Gret,1) (scharf,1) (fassen,1) (hilflos,1) (schwarz,1) (offenhieln,1) (machen,1) (nicken,1) (mächtig,1) (folgen,1) (Brust,1) (fallen,1) (Mutter,2) (sehen,3) (Milch,1)
First Hash - bloß -- Second bloß  (sein,1) (heben,1) (Fetzen,1) (verschütten,1) (tragen,1) (Hand,1)
First Hash - aufblasen -- Second aufblasen  (sein,1) (fallen,1) (abwerfen,1) (schwierig,1) (brauchen,1) (werden,1)
First Hash - erbot -- Second erbot  (holen,1) (haben,1) (herzlich,1) (schweigen,1) (wollen,1) (Vater,1)
First Hash - ankommen -- Second ankommen  (Tisch,1) (stehen,1) (setzen,1) (sein,1) (eilig,1) (Zerstreutheit,1)
First Hash - beschreiben -- Second beschreiben  (ausführlich,1) (wehren,1) (anfangen,1) (Bedienerin,1) (merken,1) (wollen,1)
First Hash - unglaublich -- Second unglaublich  (können,1) (Ortswechsel,1) (vergehen,1) (überraschend,1) (weiterschleppen,1) (Schmerz,1)
First Hash - Ausschnitt -- Second Ausschnitt  (Straßenseite,1) (stehen,1) (anderer,1) (endlos,1) (gegenüberliegend,1) (grauschwarz,1)
First Hash - Staub -- Second Staub  (sein,1) (bedeckt,1) (entzündet,1) (spüren,1) (Wand,1) (Knäuel,1) (Umgebung,1) (liegen,2) (Unrat,1) (erster,1) (verstecken,1) (Zimmer,1) (haben,1) (Zeit,1) (weich,1) (Grund,1) (klein,1)
First Hash - Vernünftig -- Second Vernünftig  (können,1) (sein,1) (bleiben,1) (opfern,1) (Bett,1) (klein,1)
First Hash - unglücklich -- Second unglücklich  (sein,1) (Sohn,1) (lassen,1) (Begreift,1) (müssen,1) (Gregor,1)
First Hash - weit -- Second weit  (können,1) (hinausgelehnen,1) (überlegen,1) (fein,1) (entfernt,1) (Höhe,1) (ausstrecken,1) (Zimmer,1) (Licht,1) (Wort,1) (nah,1) (frühstück,1) (einemmal,1) (zeigen,1) (Vater,1) (vorbeugen,1) (strecken,1) (warten,1) (Bewegung,1) (Fenster,1) (Zeigefinger,1) (müssen,2) (Hand,2) (Treppe,1) (öffnen,1) (drücken,1) (loswerden,1) (Bett,1) (Arm,1) (Herr,1) (spreizen,1) (sein,5) (blutend,1) (rechter,1) (Tür,1) (anziehen,1) (unterdrücken,1) (fliegen,1) (stark,1) (Boden,1) (schaukelnd,1) (überirdisch,1) (verlieren,1) (Gasse,1) (heftig,1) (Gesicht,1) (verhalten,1) (Finger,1) (recht,1) (Stille,1) (nähen,1) (Mutter,2) (sehen,1) (Gleichgewicht,1) (werden,1) (aufstehen,1) (Schaukeln,1) (merken,1) (lächeln,1)
First Hash - eintreten -- Second eintreten  (können,1) (sein,5) (schrecklich,1) (Entschlusse,1) (Mensch,1) (groß,1) (Gregor,3) (nehmen,1) (Verbindung,1) (haben,3) (verhindern,1) (stören,1) (Gret,1) (Zeit,1) (Vorzimmer,1) (lassen,2) (getrauen,1) (müssen,1) (Führer,1) (Samsa,1) (unerwartet,1) (sorgen,1) (laufen,1) (Stellung,1) (Mutter,2) (werden,1)
First Hash - Gewohnheit -- Second Gewohnheit  (nehmen,1) (Plafond,1) (Vergnügen,1) (Zerstreuung,1) (Wand,1) (kriechen,1)
First Hash - leis -- Second leis  (wecken,1) (schlagen,1) (Mutter,1) (suchen,1) (Zusprache,1) (Vater,1)
First Hash - gewonnen -- Second gewonnen  (scheinen,1) (Antwort,1) (haben,1) (stören,1) (Ruhe,1) (Bedienerin,1)
First Hash - zumachen -- Second zumachen  (haben,1) (ausreden,1) (Vorzimmer,1) (lassen,1) (Wohnungstür,1) (Schrecken,1)
First Hash - Rosine -- Second Rosine  (umgeben,1) (sein,1) (Sauce,1) (Gregor,1) (Käse,1) (Mandeln,1)
First Hash - vermeiden -- Second vermeiden  (sein,1) (flüstern,1) (leise,1) (schlagen,1) (Chef,1) (Geschäftsdiener,1) (bitten,1) (Tür,1) (Gregor,1) (derartig,1) (Donnerwetter,1) (haben,2) (ganz,1) (Aufenthalt,1) (Fünfuhrzug,1) (wollen,1) (genau,1)
First Hash - gesalzen -- Second gesalzen  (beschmiert,1) (Butter,1) (Brot,2) (wahrscheinlich,1) (stellen,1)
First Hash - Stumpfheit -- Second Stumpfheit  (anderer,1) (laufen,1) (offenhieln,1) (Rettung,1) (sammeln,1) (Auge,1)
First Hash - Klinke -- Second Klinke  (öffnen,1) (legen,1) (Kopf,1) (Tür,1) (brauchen,1) (gänzlich,1)
First Hash - aufgesetzt -- Second aufgesetzt  (einpacken,1) (sagen,1) (vorsichtig,1) (Krückstock,1) (arbeiten,1) (Mantel,1)
First Hash - füllen -- Second füllen  (Schnitt,1) (Kredenz,1) (vorläufig,1) (Weißbrot,1) (haben,1) (süß,1) (Tasche,1) (Milch,1) (scharf,1) (Napf,1) (werfen,1) (klein,1)
First Hash - Aufwand -- Second Aufwand  (ganz,1) (Geld,1) (Familie,1) (spät,1) (tragen,1) (verdienen,1)
First Hash - erregen -- Second erregen  (Benehmen,1) (aufstand,1) (eilt,1) (Schutz,1) (Tür,1) (Besorgnis,1) (wagen,1) (werden,1) (müssen,1) (Arm,1) (Schrecken,1) (Vater,1)
First Hash - Rand -- Second Rand  (beobachten,1) (festhieln,1) (Kanapee,1) (fallen,1) (nah,1) (haben,2) (Kopf,1) (Beinchen,1) (vorschieben,1) (Gregor,1) (Stuhles,1)
First Hash - niedergekämmen -- Second niedergekämmen  (Mütze,1) (Goldmonogramm,1) (leuchtend,1) (Scheitelfrisur,1) (werfen,1) (genau,1)
First Hash - Morgenstunde -- Second Morgenstunde  (ausnützen,1) (Geschäft,1) (bleiben,1) (schlagen,1) (haben,1) (treu,1) (ergeben,1) (Anfang,1) (Mensch,1) (dritter,1) (Turmuhr,1) (allgemein,1)
First Hash - Einrichtungsstück -- Second Einrichtungsstück  (sein,1) (Teil,1) (mitbringen,1) (groß,1) (eigen,1) (Grund,1)
First Hash - Zug -- Second Zug  (einholen,2) (nächster,1) (Chef,1) (Junge,1) (sollen,1) (gehen,1) (tun,1) (müssen,1) (Gregor,1) (Donnerwetter,1) (Weckuhr,1) (Vorläufig,1) (haben,1) (Prokurist,1) (fahren,1) (sehen,1) (werden,1) (versäumen,1) (aufstehen,1) (fühlen,1) (frisch,1) (Uhr,1) (beweglich,1)
First Hash - Verfassung -- Second Verfassung  (gegenwärtig,1) (fallen,1) (anderer,1) (Türflügel,1) (entfernt,1) (Vater,1)
First Hash - Bedürfnis -- Second Bedürfnis  (Bedenken,1) (haben,1) (schließen,1) (hereinzukommen,1) (rasch,1) (Gregor,1)
First Hash - natürlich -- Second natürlich  (Mittag,1) (Kanapee,1) (müssen,1) (wollen,1) (Gregor,1) (verstecken,1)
First Hash - Appetit -- Second Appetit  (können,2) (sagen,1) (erfüllen,1) (haben,3) (machen,1) (vorstellen,1) (ausrichten,1) («,1) (Gregor,1)
First Hash - lässig -- Second lässig  (hängend,1) (überwinden,1) (Violine,1) (haben,1) (Zeitlang,1) (Hand,1)
First Hash - Wohnzimmertür -- Second Wohnzimmertür  (Stunde,1) (beobachten,1) (entschlossen,1) (schließen,1) (machen,1) (Besucher,1) (Wohnzimmer,1) (Gregor,2) (unmittelbar,1) (genügend,1) (bleiben,1) (zögernd,1) (einnahme,1) (Abend,2) (Ersatz,1) (scharf,1)
First Hash - glitt -- Second glitt  (Rücken,1) (unschädlich,1) (streift,1) (drang,1) (nachfliegend,1) (Gregor,1)
First Hash - bearbeiten -- Second bearbeiten  (Tisch,1) (laut,1) (Wut,1) (Fäusten,1) (Gregor,1) (klein,1)
First Hash - unfähig -- Second unfähig  (können,1) (sein,2) (Augenblick,1) (arbeiten,1) (berichten,1)
First Hash - umfangen -- Second umfangen  (Stelle,1) (Nebenzimmer,1) (Kasten,1) (schwingen,1) (Gret,1) (halten,1)
First Hash - Rückkehr -- Second Rückkehr  (Frau,1) (beobachten,1) (haben,1) (Ruhe,1) (Wohnzimmer,1) (Tür,1)
First Hash - verdrehen -- Second verdrehen  (wegnehmen,1) (Wohnzimmer,1) (Kopf,1) (Tür,1) (werden,1) (verdecken,1)
First Hash - besondere -- Second besondere  (kurz,1) (denken,1) (liegen,1) (Gregor,1) (absichtlich,1) (Besuch,1)
First Hash - einsetzen -- Second einsetzen  (sein,1) (Stellung,1) (gering,1) (verlieren,1) (Lust,1) (fest,1)
First Hash - klagen -- Second klagen  (anderer,1) (Schwester,1) (»,1) (Gregor,2) (Seitentür,1)
First Hash - schleudern -- Second schleudern  (fliegen,1) (rollen,1) (sein,3) (leicht,1) (unbrauchbar,1) (haben,1) (Apfel,1) (eilig,1) (Bedienerin,1) (Augenblick,1)
First Hash - Schoß -- Second Schoß  (herzulaufen,1) (stehen,1) (staunend,1) (Finger,1) (aufraffen,1) (beginnen,1) (Atembeschwerde,1) (Hand,1) (zitternd,1) (hallend,1) (Ton,1) (fallen,1) (falten,1) (haben,1) (legen,1) (Instrument,1) (Mutter,2)
First Hash - Schwung -- Second Schwung  (stehen,1) (letzter,1) (aufrecht,1) (geben,1) (Kasten,1) (Schmerz,1)
First Hash - Vorwurf -- Second Vorwurf  (können,1) (sagen,1) (sein,1) (Sohn,1) (Winkel,1) (machen,5) (glauben,1) (bezeichnend,1) (gering,1) (Einwand,1) (schonen,1) (Gregor,1) (Eltern,2) (wochenlang,1) (Zimmer,1) (haben,2) (Hinweis,1) (Prokurist,1) (Stellung,1) (Mutter,1) (anfingen,1) (faul,1) (Grund,1) (Vater,1)
First Hash - rauschend -- Second rauschend  (holen,1) (Röcken,1) (haben,1) (Vorzimmer,1) (laufen,1) (Mädchen,1)
First Hash - freudig -- Second freudig  (Rücken,1) (rieben,1) (Streit,1) (Erwartung,1) (groß,1) (ununterbrochen,1)
First Hash - runden -- Second runden  (können,1) (haben,1) (Leib,1) (Enge,1) (Essen,1) (atmen,1)
First Hash - wegfliegen -- Second wegfliegen  (können,1) (sein,1) (haben,1) (beherrschen,1) (müssen,1) (erschrak,1)
First Hash - Benehmen -- Second Benehmen  (aufstand,1) (sein,1) (eilt,1) (erregen,1) (zuschlug,1) (entschuldigen,1) (Tür,2) (Samsa,1) (bleiben,1) (bedrängen,1) (öffnen,1) (wissen,1) (aufgehend,1) (böse,1) (Ungewißheit,1) (tatsächlich,1) (bereue,1) (Erkenntnis,1) (Arm,1) (treten,1) (Herr,1) (Vater,2)
First Hash - Beruf -- Second Beruf  (denken,1) (wählen,1) (haben,1) (Gott,1) (anstrengend,1) (Tag,1)
First Hash - Beleidigt -- Second Beleidigt  (unbeweglich,1) (möglich,1) (trauen,1) (absichtlich,1) (spielen,1) (Verstand,1)
First Hash - bewußt -- Second bewußt  (sagen,1) (bewahren,1) (sein,2) (Ruhe,1) (Gregor,1)
First Hash - offenbar -- Second offenbar  (sagen,2) (drehen,1) (sein,1) (Stück,1) (Tür,1) (Stimme,1) (stemmen,1) (Weile,1) (antworten,1) (Fleisch,1) (rufen,1) (mürbe,1) (feststellen,1) (einnehmen,1) (haben,2) (dumpfer,1) (ganz,1) (Befreiend,1) (führen,1) (Schüssel,1) (vertreiben,1) (Eile,1) (wollen,1) (Vater,2) (Erinnerung,1) (Gesicht,1) (lehnen,1) (Wohnung,1) (beleidigt,1) (hingewenden,1) (Fenster,1) (früher,1) (Hand,1) (Türe,1) (öffnen,2) (Schwester,1) (Adjes,1) (Mutter,1) (drücken,1) (Tag,1) (sehen,1) (werden,2) (Zimmerherre,1)
First Hash - Zerstreuung -- Second Zerstreuung  (nehmen,1) (Plafond,1) (Gewohnheit,1) (Vergnügen,1) (sein,1) (studieren,1) (Laubsägearbeit,1) (haben,1) (gering,1) (Wand,1) (beschäftigen,1) (Fahrplan,1)
First Hash - Speisekammer -- Second Speisekammer  (nehmen,1) (können,1) (gelangen,1) (haben,1) (machen,1) (Plan,1)
First Hash - zurücklegen -- Second zurücklegen  (haben,1) (Geld,1) (Weg,1) (Kriechen,1) (angreifen,1) (gleich,1) (dürfen,1) (Notfall,1) (werden,1) (müssen,1) (rasch,1) (merken,1)
First Hash - erleben -- Second erleben  (sinken,1) (Wille,1) (Kopf,1) (Fenster,1) (Hellerwerden,1) (allgemein,1)
First Hash - hinauszuschaukeln -- Second hinauszuschaukeln  (vollständig,1) (fallen,1) (Weise,1) (Bett,2) (gleichmäßig,1)
First Hash - hintreten -- Second hintreten  (sein,1) (Meinung,1) (haben,1) (Chef,1) (kündigen,1) (Grund,1)
First Hash - beweglich -- Second beweglich  (einpacken,1) (Donnerwetter,1) (können,1) (erweisen,1) (einholen,1) (langsam,1) (gehen,1) (fühlen,1) (frisch,1) (Zug,1) (schwer,1) (wild,1)
First Hash - überflüssig -- Second überflüssig  (verkäuflich,1) (Schläfrigkeit,1) (sein,2) (wirklich,1) (haben,1) (kräftig,1) (lang,1) (werden,1) (Grund,1) (Ding,1) (Schlaf,1)
First Hash - demütig -- Second demütig  (drehen,1) (mögen,1) (verstehen,1) (stampfen,1) (Kopf,1) (Vater,1)
First Hash - überanstrengen -- Second überanstrengen  (hören,1) (Mutter,1) (viertelstündig,1) (fürchten,1) (dauern,1) (werden,1)
First Hash - verlassen -- Second verlassen  (können,3) (drehen,1) (Frau,1) (Öffnung,1) (Verhältnis,1) (Haltung,1) (ächzend,1) (gemeinschaftlich,1) (verbeugen,1) (gering,1) (liegen,1) (entschließen,1) (ausdenken,1) (Brief,1) (Gregor,1) (stoßen,1) (Zimmer,3) (heraufstieg,1) (wirklich,1) (haben,2) (Ohr,1) (helfen,1) (klopfen,1) (fühlen,1) (zeigen,1) (Vater,1) (Vorzimmer,1) (Wohnung,6) (unverständlich,1) (plötzlich,1) (müssen,1) (Dienstmädchen,1) (Schrecken,1) (Wecker,1) (Schwester,2) (stolz,1) (Adjes,1) (Augenblicklich,1) (Lehrjung,1) (Fall,1) (drücken,1) (Bett,3) (geheim,1) (Arm,1) (Herr,2) (denken,1) (sagen,1) (sein,6) (Aufgabe,1) (schieben,1) (gänzlich,3) (Stockbehälter,1) (fürchterlich,1) (leer,1) (Kopf,1) (beendet,1) (Familie,1) (Türezuschlagen,1) (Teppich,1) (allzugroße,1) (stumm,1) (vollständig,1) (Verbot,1) (Gesicht,1) (schlagen,1) (übrig,1) (verstehen,1) (Monat,1) (Kanapee,1) (Samsa,1) (Türflügel,1) (Schmeichelwort,1) (Mutter,2) (Genügte,1) (werden,4) (wild,1) (rasch,1)
First Hash - wehtun -- Second wehtun  (Wunde,1) (haben,1) (Finger,1) (sollen,1) (schneiden,1) (Feingefühl,1)
First Hash - Zimmermitt -- Second Zimmermitt  (sein,1) (kroch,1) (Wohnzimmer,1) (Widerwille,1) (Napf,1) (Gregor,1)
First Hash - hereinkäme -- Second hereinkäme  (sein,1) (Woche,1) (gut,1) (verstehen,1) (Mutter,1) (Tag,1)
First Hash - Augenblicken -- Second Augenblicken  (tief,1) (verschwinden,1) (gelangen,1) (Biegung,1) (Treppenhaus,1) (hervorkamen,1)
First Hash - erfahren -- Second erfahren  (sagen,1) (können,3) (denken,1) (sein,4) (verlangen,1) (Genüge,1) (sollen,1) (Tür,1) (groß,1) (Essen,1) (Klage,1) (Gregor,3) (wehren,1) (Eltern,1) (letzter,1) (wissen,1) (zögernd,1) (haben,1) (Neuigkeit,1) (erzielt,1) (Nebenzimmer,1) (Leistung,1) (Anblick,1) (Hörensage,1) (wollen,1) (beenden,1) (klein,1) (aufnehmen,1) (Vater,1) (erhorchen,1) (Besprechung,1) (allmählich,1) (verstehen,1) (Besucher,1) (pflegen,1) (unmittelbar,1) (erschöpfen,1) (hereinzubringen,1) (Preis,1) (begierig,1) (unmöglich,1) (Schwester,1) (sprechen,1) (Reise,1) (werden,2) (Herr,1)
First Hash - « -- Second «  (denken,1) (klar,1) (können,1) (sagen,1) (Frau,1) (sein,1) (sorgenvoll,1) (beschwören,1) (hören,1) (mach,1) (aufmachen,1) (Gregor,4) (haben,1) (Appetit,1) (wollen,1)
First Hash - davonzulaufen -- Second davonzulaufen  (Kanapee,1) (Anblick,1) (hervorragen,1) (Körper,1) (klein,1) (Partie,1)
